"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1104717560","Southern Magnolia Dental","3"
"1164195707","Ventura Orthopedics","3"
"1164313581","Beacon Prescriptions","3"
"1184515546","ALBERTSONS CENTRAL FILL PHARMACY PHOENIX","3"
"1215828678","Trinity Nursing & Rehab of Granbury","3"
"1225055635","WALMART PHARMACY 10-1575","3"
"1265066146","Exploration Kids Therapy","3"
"1295626653","UPMC Rehabilitation Institute","3"
"1316964729","WALMART PHARMACY 10-1574","3"
"1386676625","Spivey Peritoneal and Home Dialysis Center","3"
"1417580325","Ventura Orthopedics","3"
"1447141809","ALBERTSONS CENTRAL FILL PHARMACY VANCOUVER","3"
"1447817754","OrthoRehab Physical Therapy","3"
"1457143620","CME Wellness Therapy","3"
"1457242802","Vendegnia Consulting LLC","3"
"1467911586","Pearle Vision","3"
"1508527243","Miracle City Dentistry","3"
"1518417351","Allendale County Hospital Pharmacy","3"
"1538958665","Laramie Fire Department","3"
"1588555460","Das Primary Care & Sports Medicine","3"
"1598743676","FARMACIA VAZQUEZ","3"
"1629531454","Ventura Orthopedics","3"
"1629969084","ALBERTSONS CENTRAL FILL PHARMACY IRVING","3"
"1750537296","Concho Hearts Home Health","3"
"1841181294","The Hearing Center of Lake Charles, Inc.","4"
"1841728789","Colorado Kidney Care","3"
"1851562185","Colorado Kidney Care","3"
"1871547315","Ventura Orthopedics","3"
"1881585248","SMITH'S PHARMACY #303","3"
"1952180283","CareGivers of America","3"
"1053337048","Western Carolina University Speech and Hearing Clinic","3"
"1073351078","Arise Mental Health","4"
"1104716240","Arrowhead Correctional Center","5"
"1134146541","WALMART PHARMACY 10-1583","3"
"1215176433","Winter Park Hemo Dialysis","3"
"1316988801","Publix Pharmacy #0356","3"
"1316988801","Publix Pharmacy #2043","3"
"1386534071","Smithfield Chiropractic","3"
"1407747769","Family Care Pharmacy Chickasaw","3"
"1487296877","West Atlantic Pharmacy","3"
"1518857531","Four Mile Correctional Center","5"
"1538059670","Colorado State Penitentiary","5"
"1558251504","Trinidad Correctional Facility","5"
"1598656860","Modern Healthcare Billing and Supplies","3"
"1609664655","WellSpan Martin Foot and Ankle","3"
"1629296058","Delta Specialty Hospital","3"
"1689738387","Morris Drugs","3"
"1699663476","Clarity Healthcare","3"
"1699665737","Buena Vista Correctional Facility","5"
"1710053293","Targeted Case Management","3"
"1720978752","Fremont Correctional Facility","5"
"1750648689","Island Counseling Center, LLC","4"
"1780574715","Centennial Correctional Facility","5"
"1801787171","Santiam Health & Wellness Clinic","3"
"1801813282","WALMART PHARMACY 10-1577","3"
"1831116151","WAL-MART PHARMACY 10-1578","3"
"1861383127","RNscrub Foot Care","3"
"1861411845","WAL-MART PHARMACY 10-1580","3"
"1902604770","Publix Pharmacy #2100","3"
"1932656170","Harmony Place East","3"
"1942190913","Denver Reception and Diagnostic Center","5"
"1972493930","Youth Offender System","5"
"1982036869","RIPLEY DRUGS","3"
"1992521595","Publix Pharmacy #2050","3"
"1003491234","Magnolia Orthopedic Center","5"
"1013915149","dba Sarasota Memorial Home Care","3"
"1023778115","Magnolia Primary Care Clinic","5"
"1073829941","CRA","5"
"1104261718","ARLINGTON ELEMENTARY HEALTHFIRST BLUEGRASS SCHOOL CLINIC","5"
"1154349629","WAL-MART PHARMACY 10-1586","3"
"1225929524","Rent Luxury Vans","3"
"1235027889","LaVista Correctional Facility","5"
"1235715996","Central Utah Surgical Center","3"
"1245050376","Graduate Post Acute","3"
"1245799352","Salute Medical","3"
"1245799352","Salute Trans","3"
"1255222535","Valley Health Fertility","3"
"1255792040","PHARMACY OF AMERICA VII INC.","3"
"1275424566","One Health Home Care Agency","3"
"1285525576","MISSOURI HIGHLANDS HEALTH CARE","3"
"1285525576","Missouri Highlanda Doniphan - Dental","5"
"1295917938","Colorado Department of Corrections Pharmacy","5"
"1316964414","WALMART PHARMACY 10-1584","3"
"1336760362","Magnolia Home Health Agency","5"
"1407533961","Desert Sun Endodontics Phoenix","3"
"1437960721","RUBIN INSTITUTE FOR ADVANCED ORTHOPEDICS AT 2411 W BELVEDERE AVE","5"
"1487545778","Next Chapter Reentry Project","3"
"1497376321","Magnolia Murphy Clinic","5"
"1508127739","WalMart Pharmacy 10-4457","3"
"1548881386","Magnolia Family Medical Clinic","5"
"1568083491","Magnolia Surgical Clinic","5"
"1568353852","eye max optics inc","3"
"1568353852","eyemax","3"
"1588434344","Los Angeles Therapy Institute","3"
"1619336195","BAYCARE PHARMACY","3"
"1669196507","theRealSleep","3"
"1669553715","BAYCARE PHARMACY","3"
"1679464960","Milltown Vision","3"
"1679464960","Somerset Eye Care","3"
"1700407541","Magnolia Regional Medical Center","3"
"1750661948","DOLPHIN REHAB CENTER INC","4"
"1851281323","OutDaKitcheN LLC","3"
"1902518517","Coast Injury Medicine","3"
"1902797293","Daily Smiles","3"
"1922999218","Pillars Health Group Concord","3"
"1952922981","MRHS Professional Group","5"
"1982039731","BAYCARE PHARMACY","3"
"1992981336","WALMART PHARMACY 10-4460","3"
"1013325182","WalMart Pharmacy 10-4471","3"
"1033318522","WALMART PHARMACY 10-4461","3"
"1043006687","Gaon Adult Day Care","3"
"1043237456","WALMART PHARMACY 10-1588","3"
"1083430995","Quad/Med, LLC","5"
"1174830442","Highlander","5"
"1184931453","Women Residential","5"
"1215954698","WALMART PHARMACY 10-1589","3"
"1225200694","Callowhill Dialysis Center","3"
"1255647129","West City","5"
"1265686307","WellSpring Resources","4"
"1306737614","Seniors Helping Seniors Utah North","3"
"1326939638","PRECISION PHARMACY","3"
"1336484120","ALTUM SENIOR CARE","3"
"1396972006","physical Medicine clinic","3"
"1417974825","WALMART PHARMACY 10-1587","3"
"1437040755","MAHEC Health Centers","3"
"1508445123","Emerald Rose Counseling & Psychiatry LLC","3"
"1508445123","Emerald Rose Counseling and Psychiatry LLC","5"
"1508682410","Quad/Med, LLC","5"
"1558252858","Caraway's Pharmacy","3"
"1558561316","WALMART PHARMACY 10-4232","3"
"1649161944","Mindful Voices Rehab","3"
"1801072251","WALMART PHARMACY 10-4230","3"
"1831665462","Bailey Psychological Consulting, LLC","3"
"1841308236","WALMART PHARMACY 10-4235","3"
"1851282164","TEAM 4 Kids Washington","3"
"1851984538","Clear Horizon Counseling, LLC","4"
"1871774448","WALMART PHARMACY 10-4233","3"
"1972715456","Integrity Senior Services","3"
"1033463583","Newport Orthopedic Institute","3"
"1083652630","Piedmont Pediatrics of Laurens","4"
"1124919451","Golden Steps ABA","3"
"1134010457","Eyeconic Optometry","3"
"1144081118","Desert Lotus Medical Center","3"
"1174089130","Quad Med Dental West Allis","3"
"1205147931","Walmart Pharmacy 10-4237","3"
"1205234291","Dirk Wales MD PC","4"
"1215699467","HealthFirst Bluegrass MET","5"
"1255424230","Northern Valley Catholic Social Service, Inc.","3"
"1255439907","QUAD/MED PHARMACY","3"
"1265285183","Quality Rx & Compounding","3"
"1285006973","SBL Martinsville Clinic","3"
"1295836898","Crestwood Pharmacy","3"
"1366832289","HealthFirst Bluegrass Pharmacy","5"
"1376817916","Matrix House","5"
"1386899383","WellSpring Resources","4"
"1396636627","Mind Body & Sol Holistic Services","3"
"1417773417","Quad/Med, LLC","3"
"1417848748","Grace Home Care","3"
"1467343780","ACCESS NEURO-OP","3"
"1497064208","Wellspring Resources","4"
"1518984798","Walmart Pharmacy 10-1594","3"
"1528186665","Casey Clinic","3"
"1528959855","Hallmark Homecare","3"
"1568617579","WellSpring Resources","4"
"1598656811","TidalHealth Pediatric Specialist","5"
"1598883613","Sullivan Clinic","3"
"1649668575","SBL Newton Clinic","3"
"1659465789","WellSpring Resources","4"
"1669673646","FAMILY HEALTH SERVICES RURAL HEALTH CLINIC","3"
"1689691735","WAL-MART PHARMACY 10-1591","3"
"1710163142","WALMART PHARMACY 10-4473","3"
"1710938659","Regional Surgical Specialists, Inc","3"
"1710938659","Regional Vascular & Vein","3"
"1750714762","WalMart Pharmacy 10-4472","3"
"1760409148","WALMART PHARMACY 10-1590","3"
"1780411306","TC Health & Med Spa","3"
"1811888142","TEXAS BONE HEALTH AND WELLNESS CENTER","3"
"1811998495","Westbrook Visiting Nurses & Public Health","3"
"1851282172","Jennifer Merrick","5"
"1851282172","Jennifer Merrick, LMHC","5"
"1861700585","Community Counseling Center of Northern Madison County","4"
"1902051915","Wellspring Resources","4"
"1912025057","Neoga Clinic","3"
"1932273075","Hanger Clinic","3"
"1942190244","Mall Docs INC","3"
"1962009704","Pharmamax Aguadilla # 2","3"
"1013669878","Evara Health","3"
"1013912641","Bakersfield Family Medical Group","3"
"1013912641","BAKERSFIELD FAMILY MEDICAL CENTER","5"
"1023650439","HealthPro Pharmacy & Wellness Center","3"
"1073404323","Pieces of Your Life Nursing","5"
"1093553372","Warm Valley Health Care","3"
"1093553372","Warm Valley Health Care Pharmacy","3"
"1124372586","JC Recovery Center","3"
"1124919469","Compose Care LLC","3"
"1144111485","Movement Lab Chiropractic","3"
"1174709513","WALMART PHARMACY 10-4475","3"
"1184515439","The Sanctuary Clinic","3"
"1235268897","Farmacia La Candelaria","3"
"1245408327","WALMART PHARMACY 10-4479","3"
"1275424525","His Hand Family Care","3"
"1285525436","Lake Region Healthcare","3"
"1285965772","Walmart Pharmacy 10-4474","3"
"1306737648","Lighthouse Wellness","3"
"1457344558","ST REGIS MOHAWK HEALTH SERVICES","3"
"1518194430","WALMART PHARMACY 10-4476","3"
"1619452166","DH VISION CARE INC","5"
"1659852580","Kelly Care","3"
"1679234066","Bella Clinical Care","3"
"1689682932","AccentCare Personal Care Services of Texas","3"
"1699537019","Bella Clinical Care - Georgia","3"
"1700772613","Northwest Center for Attachment and Trauma Therapy","3"
"1770328718","Warm Valley Health Care","5"
"1770474025","Peer Pathways LLC","3"
"1801856786","DCH RGV","5"
"1861818643","Clinicians Home Health Care Services","3"
"1902606791","Optimistic Healthcare Solutions LLC","3"
"1922999267","GO AUTO SALMAR","3"
"1952177800","OHC Pharmacy","3"
"1972494219","A Plus Quality Home Care Consulting","3"
"1972750792","WalMart Pharmacy 10-4477","3"
"1982595476","Divine Wellness","3"
"1003617713","iBac","3"
"1093991424","WALMART PHARMACY 10-4483","3"
"1104470699","MED CENTER HEALTH PLASTIC & RECONSTRUCTIVE SURGERY","3"
"1154212306","Boswell Dental Care","3"
"1205468683","Professional Therapy Services of Texas","3"
"1215734454","TriBalance Chiropractic","4"
"1285524439","Behavior Group","3"
"1285524439","Behavior One","3"
"1326042870","PHARMACY SOLUTIONS","3"
"1346047164","Mommys Beautiful Sunrise Inc","3"
"1346047164","Mommy Beautiful Sunrise Inc","5"
"1346067444","Tranquil Tides Counseling","3"
"1356101042","iBac","3"
"1366203341","Arbors Landing Assisted Living","3"
"1427897834","Madrid Family Care Clinic","3"
"1477444909","Bradley Home Care Services and Transportation PLLC","3"
"1487292868","Grand Valley Wound Care","3"
"1497646665","Time For Comfort Psychiatry","3"
"1518347517","Gainesville Newberry Dialysis","3"
"1568353738","Lake Region Healthcare","3"
"1568860310","Arbors at Fairlawn","3"
"1578454740","AstraZeneca Gaithersburg","3"
"1629415609","Red Mountain Home Training Dialysis","3"
"1679840631","DIRECT HOME HEALTH SERVICES","3"
"1720588825","Arfstrom Pharmacy LTC","3"
"1760028005","Planned Parenthood of the Rocky Mountains","3"
"1841423860","WalMart Pharmacy 10-4482","3"
"1942191119","Lake Region Healthcare","3"
"1962393124","Hope & Healing Outpatient","3"
"1003275124","Foundation Medical Group","3"
"1023602364","Living Tree Recovery Centers","3"
"1073643292","Aviva Family and Children's Services","3"
"1073954970","Avrio Pharmacy","3"
"1154212348","Moment of Clarity","3"
"1164481081","ALHAMBRA DIALYSIS CENTER","3"
"1164511358","Six Stones Wellness Center","3"
"1235981614","Hilo Benioff Medical Center Anesthesia","5"
"1245121425","JMG Specialty Physicians","3"
"1275424459","New Leaf Mental Health LLC","5"
"1295274595","Alafaya Dialysis","3"
"1386047033","NVCSS","3"
"1386267714","UCHealth CCMC Infusion Outpatient","5"
"1396176020","Archway Dialysis of Modesto","3"
"1396583134","INSTANT CARE MEDICAL GROUP","3"
"1457242638","Denny Chiropractic and Acupuncture","3"
"1487428157","LevelUP Business & Life Coaching Group","3"
"1487428157","LevelUP Business & Life Coaching Group, LLC.","3"
"1508757790","Seniors Helping Seniors","3"
"1598656787","Success on the Spectrum Statesville","3"
"1740314855","Fred Finch Youth Center- Bridges of San Mateo","5"
"1750272936","QuickHeal Logistics","3"
"1790676963","Omni Exclusive Diagnostic","3"
"1821861758","La Cruz de Colon Pharmacy, Inc","4"
"1841181039","Enhanced Property Management LLC","3"
"1013379460","Maui Memorial Medical Center","3"
"1033726179","Wellness & Beyond Healthcare","3"
"1073296372","South Bay Endocrine Specialists","3"
"1083181226","Kula Hospital-Swing Bed Unit","3"
"1093408957","Millanski Center","3"
"1093408957","Millanski Center for Aphasia and Cognitive-Communication Disorders","3"
"1114613916","Delight Care","3"
"1124813183","Motivate Children's Therapy","3"
"1124919337","moonlight transportation inc","4"
"1255058699","Salterra Senior Living at Pinellas Park","3"
"1275367591","MAESTRO MEDICAL GROUP, PLLC","5"
"1316836406","Sheri's Smile and Skills Therapy","3"
"1356232557","Clawson Root Canals","3"
"1366919136","Forest Hills Healthcare and Rehabilitation Center","3"
"1366919136","Continuing Healthcare at Forest Hill","4"
"1427949197","Attain BH Toledo LLC","3"
"1487447363","Lumina Medical","3"
"1487545695","Alternative Solutions Counseling","4"
"1508167370","Life Counseling","3"
"1518667856","Salterra Senior Living at St. Petersburg","3"
"1548987993","Salterra Senior Living at Dunedin","3"
"1588381925","Salterra Senior Living at Largo","3"
"1619694064","Salterra Senior Living at Melbourne","3"
"1649161845","Agape Home Health of Las Vegas","3"
"1720979933","MommieWorks PNCC","3"
"1720979933","MommieWorks with Mommies","5"
"1760050504","Internal Vitality Health, LLC","3"
"1760178800","Azalea at Delray Beach","3"
"1831080274","Rebecca Hampton Arizona Therapy LLC","4"
"1841089919","Cedar & Sage Mental Health","3"
"1851882757","Dr. Stacey Hellow","3"
"1861882524","Compassionate Care Hospice","3"
"1861882524","Compassionate Care Hospice LLC","3"
"1861882524","Harmony Home Health And Hospice Care","3"
"1881585099","Caring Arms Homecare LLC","4"
"1134182561","Manzanita Dialysis Center","3"
"1205820610","Tennessee Orthopaedic Alliance","3"
"1215990478","Orangevale Dialysis Center","3"
"1225929458","DualPoint","3"
"1316323579","Golden State Dialysis","3"
"1366974537","WellSpan Plastic & Reconstructive Surgery","3"
"1497646616","Pearl Counseling, Inc.","5"
"1508652223","The Lab","3"
"1518382886","WELLSPAN GENERAL SURGERY","3"
"1518382886","WellSpan Surgical Specialist","3"
"1538995659","Spaulding Hospital for Continuing Medical Care - Cambridge","3"
"1629493135","CharterCARE Medical Associates","3"
"1639779713","WOCN Solutions PC","4"
"1649051475","Maybrook Dialysis","3"
"1710420294","College Parkside Pharmacy","3"
"1831080050","Retreat At Harbor Cove","3"
"1851282081","Covered","3"
"1922069384","Corona Dialysis Center","3"
"1972833382","Garfield Home Program","3"
"1184917924","Sanford 1717 Medical Building","3"
"1184917924","Sanford Health 625 Demers Ave Clinic","3"
"1184917924","Sanford South University Eye Center & Optical","3"
"1225302128","Sun City Menifee Dialysis","3"
"1295024206","Silverado Dialysis","3"
"1356897706","Branches Folsom","3"
"1376327338","Branches Elk Grove","3"
"1386843878","South Valley Dialysis","3"
"1437883667","Branches Davis","3"
"1629602784","WOODSTOCK HEALTH INSTITUTE","3"
"1639060114","Future Days","3"
"1669363800","Fort Wayne Medical Oncology and Hematology","3"
"1700837325","Walter Chmelewski & Ana Silvia Ross Partners","4"
"1043101181","Cornerstone Caregiving","3"
"1053851949","THE FAMILY HEALTH CENTER","3"
"1104717255","Brighton Post Acute Care","3"
"1184357956","Nurse Next Door Woodlands","3"
"1225928799","True North Recovery","3"
"1235895293","Glasswater Creek of Whitestown","3"
"1265710438","ST EDWARD FIRE & RESCUE DEPT.","3"
"1295242683","bishop rehabilitation and nursing ceter","3"
"1407442650","Self","5"
"1487161576","Branches Roseville","3"
"1518858653","Fort Wayne Medical Oncology & Hematology","3"
"1548777634","Branches West Sacramento","3"
"1588555635","Southeast Clinic","3"
"1619741741","Glass Peaks Senior Living","3"
"1629039300","RTC Columbia Dialysis","3"
"1649161787","North Oaks Dental Westland","3"
"1720979875","Holiday Rehabilitation and Healthcare Center","3"
"1750815809","Orthopaedic San Antonio","3"
"1770090862","Branches Carmichael","3"
"1780661751","Heritage Partners Pharmacy","3"
"1811335516","Obstetrics & Gynecology Exeter Tower Health Medical Group","3"
"1821989971","Psyche's Clay","3"
"1821989971","Psyche's Clay and Therapy","3"
"1841912656","Fast Care Medical Transportation","3"
"1891189585","Logan Health Specialty Clinic Whitefish 2000 Hospital Way","3"
"1912898065","Rapid Response Occupational Medicine & Urgent Care","3"
"1922710284","Green Oaks of Goshen","3"
"1952292872","Pivot Assessment Services","3"
"1992183164","Allegheny Clinic Radiology","3"
"1992427868","Vivera Senior Living of Jeffersonville","3"
"1003842535","Big Sky Diagnostic Imaging of Billings","3"
"1023897865","Care with Dignity at Home","3"
"1043101116","Centerton Orthodontics","3"
"1043101199","Lighthouse Behavior Services","3"
"1043101199","Lighthouse Institute of NeuroBehavioral Health","3"
"1043101199","Lighthouse Neurofeedback & Behavioral Health","3"
"1043101199","Lighthouse Therapeutics","3"
"1093606162","GCSTOP","3"
"1154101970","Peak Forensic Psych Services","3"
"1184780827","Hahn Eye Center","3"
"1194616268","Opsam Health","3"
"1245034131","SB PHARMACY","3"
"1295626364","District Orthopaedics","3"
"1316255128","J. Wayne Phillips, MD, PA","4"
"1356445456","Community Health Services","3"
"1356993034","F&M Renounce Healthcare Services","3"
"1417708751","Vital Care of Tulsa","3"
"1447141502","Aspen Lake Medical Equipment","3"
"1477130565","UNC Health Cary Orthopaedics and Sports Medicine Specialists","3"
"1487245742","Charlie Health","3"
"1548364813","Howard County Community Hospice","3"
"1629269733","Eastland Dialysis","3"
"1679902936","GABLES OF POCATELLO ASSISTED LIVING, GABLES OF BLACKFOOT ASSISTED LIVI","3"
"1689565731","Fort Wayne Medical Oncology And Hematology","3"
"1710870092","Ignite Medical Resort St Peters","3"
"1770473530","n/a","3"
"1811650492","Home Instead","3"
"1881585941","Select Physical Therapy","3"
"1912898081","Matrix VIP Michigan","3"
"1932899341","Vital Care of Oklahoma City","3"
"1952292005","Provide Dental- Chesterfield","3"
"1033000120","Fort Wayne Medical Oncology and Hematology","3"
"1083505168","Fort Wayne Medical Oncology and Hematology","3"
"1114757200","HOPE CARE, INC","3"
"1144331802","Dare Program of Shawnee","4"
"1164142485","MCHS Ambulance Services","3"
"1164476933","American Surgery Center","3"
"1164530382","Stephens Family Practice","3"
"1184319451","EagleBell PLLC dba Phix Healthcare","3"
"1194066357","MCHS 2013 Mobile Mammo Unit 3","3"
"1215736053","Eagle Health","5"
"1255144259","Honeycomb Pediatrics","3"
"1376859546","MCHS 2009 Mobile Mammo Unit 2","3"
"1427949510","Fort Wayne Medical Oncology and Hematology","3"
"1497646582","Green Hearts Adult Day Center","3"
"1528959616","B.E. Art Therapy & Counseling","3"
"1679464754","VIVA by ANIMO","3"
"1710644927","Seacoast Therapy","3"
"1720695471","Lone Star Family Health Center","3"
"1720695471","Lone Star Family Health Center-Telepharmacy","5"
"1821304098","MCHS 2007 Mobile Mammo Unit 1","3"
"1891686960","Rebecca Standley, LCSW, BCN","3"
"1942623202","North Shore Eye Care","3"
"1962035485","Osceola Volunteer Fire Department","3"
"1962433177","Ohio Valley Physicians Inc","3"
"1982383360","Vital Care of Lafayette","3"
"1023206828","Brand Orthopedics and Shoe Services","3"
"1033888474","Eli Home Care LLC","3"
"1043341811","INGRAM EYE CENTER","5"
"1083505176","Fort Wayne Medical Oncology and Hematology","3"
"1174414262","Blue Coral Home Care LLC","3"
"1174414288","VITAL HEALTH SERVICES","3"
"1184926750","DMH PODIATRIST","3"
"1306078985","Vera I Pharmacy","3"
"1326939562","Key To The Future Youth Advocates","4"
"1366333452","Divine Favor LLC","3"
"1376053975","Katie Lynn LPC","5"
"1396460952","The Pharmacy at Evergreen","3"
"1508757618","Fort Wayne Medical Oncology and Hematology","3"
"1558252650","Aero Prosthetics","3"
"1568194017","Caritas Family Solutions","3"
"1639752553","ANDREW WAGNER MD PC","4"
"1649903261","Caritas Family Solutions","3"
"1659262749","Season Health California, P.C.","5"
"1801787908","pollys care llc","3"
"1831080936","Tryon Family Dentistry","3"
"1841957107","OmniSmiles","3"
"1982362943","CRC-Outpatient Services","3"
"1992696009","Fort Wayne Medical Oncology and Hematology","3"
"1023050747","Youth Guidance Center","5"
"1043101165","Aero Prosthetics","3"
"1053202176","MyEyeDr.","3"
"1083123582","Austin Education, LLC","5"
"1093534356","Renaissance Medical Group PR","5"
"1093771230","MAIN LOCATION","5"
"1124630975","DispatchHealth Medical","3"
"1124630975","DispatchHealth NJ Wagner PC","4"
"1134010259","Kinetic Chiropractic and Rehabilitation","3"
"1134699416","Advantage Health","3"
"1154914661","My Florida Medical Center","3"
"1164159109","MCHS Freestanding Clinic Physician Group","3"
"1174066229","Quentin Road Pharmacy","3"
"1184515215","Aero Prosthetics","3"
"1235020405","Joey Stoops LLC","3"
"1255222386","Joey Stoops LLC","3"
"1275424319","Farmacia Caridad #50","3"
"1275424392","Aero Prosthetics","3"
"1295626315","Aero Prosthetics","3"
"1316416035","Marshfield Medical Center Eau Claire Professional Services","3"
"1396420311","Ellie Mental Health","3"
"1407842974","EAST BERLIN PHARMACY","3"
"1417370131","Professional Counseling Associates of New Mexico","3"
"1417370131","GSRCOA","4"
"1447716873","DispatchHealth NJ Wagner PC","4"
"1447734769","Clarity Counseling","3"
"1538050661","Affect","5"
"1588555692","Vera 2 Rx Pharmacy","3"
"1598594095","MPower Wellness Center","3"
"1598810764","Cornell Interventions, Inc.","4"
"1609767722","Aero Prosthetics","3"
"1649161753","Aero Prosthetics","3"
"1649837501","Epiphany Center Pediatric Clinic","3"
"1669281341","Midwest Integrated Health Clinic","3"
"1669508669","Youth Guidance Center","5"
"1699034686","Little Creek Dialysis","3"
"1710758289","Marigold Health","3"
"1790676864","Normally Nourished","3"
"1831224351","Health Center #5","5"
"1841325420","Health Center #4","5"
"1851614911","Young Chiropractic","5"
"1902074446","Just Real Kare","3"
"1912532888","VHP Center for Women's Medicine - Fairgrounds","3"
"1912532888","VHP Specialties - 17th St","3"
"1912532888","VHP- Family Health Center","3"
"1922999051","MICHIGAN INSTITUTE OF UROLOGY","3"
"1932092822","Aero Mobility, Inc","4"
"1932313400","Professional Counseling Associ","3"
