"NPI","Provider Secondary Practice Location Address- Address Line 1","Provider Secondary Practice Location Address-  Address Line 2","Provider Secondary Practice Location Address - City Name","Provider Secondary Practice Location Address - State Name","Provider Secondary Practice Location Address - Postal Code","Provider Secondary Practice Location Address - Country Code (If outside U.S.)","Provider Secondary Practice Location Address - Telephone Number","Provider Secondary Practice Location Address - Telephone Extension","Provider Practice Location Address - Fax Number"
"1619868189","9655 Boynton Beach Blvd","","Boynton Beach","FL","334724421","US","5613367000","",""
"1619868189","1005 Joe DiMaggio Dr","","Hollywood","FL","330215402","US","9542655324","",""
"1417848987","201 E Long St","","Claxton","GA","304171409","US","9127391595","",""
"1669363032","407 W 16th St","","Hope","AR","718017104","US","8707731111","103","8707721354"
"1578454948","5905 N Lydell Ave Unit 216","","Glendale","WI","532174592","US","6085017044","",""
"1700777174","7575 W 20th Ave","","Lakewood","CO","802145738","US","3032382800","",""
"1023909405","2213 Rambouillet Dr","","Fort Collins","CO","805261434","US","9076877832","",""
"1457242836","34664 Tabu Ter","","Fremont","CA","945552775","US","9255109013","",""
"1528959905","8500 Boeing Dr","","El Paso","TX","799251224","US","9155996709","",""
"1891524617","1638 Owen Dr","","Fayetteville","NC","283043424","US","9106155610","",""
"1073169728","400 W Mineral King Ave","","Visalia","CA","932916237","US","5592062420","",""
"1205549185","425 California St Ste 1400","","San Francisco","CA","941042116","US","8006516000","",""
"1932979317","100 S Jackson Ave","","Pittsburgh","PA","152023428","US","4127615744","",""
"1063490175","1500 University Dr E","","College Station","TX","778402600","US","9797314520","",""
"1942447974","1 Medical Center Dr","","Lebanon","NH","037561000","US","6036505000","",""
"1942447974","1 Gustave L Levy Pl","","New York","NY","100296500","US","2122418140","",""
"1669719258","217 W Cataldo Ave Fl 3","","Spokane","WA","992012217","US","5097476194","",""
"1336900687","210 9th St SE","","Rochester","MN","559046756","US","5072883443","",""
"1508628819","606 W Wisconsin Ave","Suite 202 PMB 1120","Milwaukee","WI","53203","US","8474406617","",""
"1861083396","4133 Mexico Rd","","Saint Peters","MO","633766410","US","6364476060","",""
"1336731918","1035 116th Ave NE","","Bellevue","WA","980044604","US","4256885000","",""
"1336731918","3800 Saint Mary Rd Ste 202","","Valparaiso","IN","463833986","US","2192863788","","2192863791"
"1871032045","1406 W Bella Dr","","Marion","IN","469535229","US","7656607720","","7656624493"
"1871032045","315 S Memorial Dr","","New Castle","IN","473624904","US","7655188100","",""
"1871032045","3719 S Western Ave","","Marion","IN","469534828","US","7652938485","",""
"1619773934","1 University Park Dr","","Nashville","TN","372043956","US","8003334358","",""
"1063837193","445 White Horse Ave Ste 202","","Hamilton","NJ","086101410","US","6095851213","",""
"1851783369","3959 Broadway","","New York","NY","100321559","US","2123058504","",""
"1427598333","8595 Picardy Ave","Suite 400","Baton Rouge","LA","708093670","US","2257670822","",""
"1619417904","1812 N Mills Ave","","Orlando","FL","328031834","US","4078973499","",""
"1376001883","10775 Pioneer Trl Ste 215","","Truckee","CA","961610234","US","4154244266","",""
"1013300490","420 S 5th Ave","","West Reading","PA","196112143","US","4846284879","",""
"1639201726","365 Storrs Rd","","Mansfield Center","CT","062501200","US","8604563225","",""
"1285603720","1705 E 19th St","302","Tulsa","OK","741045405","US","9187487585","","9182933184"
"1285603720","1705 E 19th St","302","Tulsa","OK","741045405","US","9187487585","","9182933184"
"1285603720","6161 S Yale Ave","","Tulsa","OK","741361902","US","9185021900","","9184946303"
"1932525870","803 Richards Rd NE","","White","GA","301842102","US","7705604431","",""
"1972827988","1645 Owen Dr","","Fayetteville","NC","283043425","US","9106153668","",""
"1932858776","500 University Dr","","Hershey","PA","170332360","US","7175311368","",""
"1871835983","1200 E Marshall St","","Richmond","VA","232985023","US","8048287069","","8048284762"
"1871835983","11958 W Broad St","","Richmond","VA","232331007","US","8043604669","","8048284762"
"1871835983","1001 E Leigh St","","Richmond","VA","232985004","US","8048287069","","8048284762"
"1871835983","9000 Stony Point Pkwy","","Richmond","VA","232351900","US","8045608945","","8048284762"
"1871835983","1250 E Marshall St","","Richmond","VA","232985023","US","8048287069","","8048284762"
"1871835983","10528 Spotsylvania Ave","","Fredericksburg","VA","224082710","US","5408918231","","8048284762"
"1871835983","131 Jennick Dr","","Colonial Heights","VA","238344905","US","8045265888","","8048284762"
"1871835983","325 Charles H Dimmock Pkwy Ste 100","","Colonial Heights","VA","238342986","US","8045265888","","8048284762"
"1871835983","1300 W Broad St Ste 113","","Richmond","VA","232849058","US","8048287069","","8048284762"
"1871835983","332 N Henry St","","Williamsburg","VA","231854117","US","7572201246","","8048284762"
"1871835983","618 Hospital Rd","","Tappahannock","VA","225605000","US","8044438670","","8044338675"
"1871835983","1755 N Mecklenburg Ave","","South Hill","VA","239704080","US","4344473151","","8048284762"
"1871835983","1000 E Broad St","","Richmond","VA","232191930","US","8048282467","","8048284762"
"1871835983","8700 Stony Point Pkwy","","Richmond","VA","232351962","US","8047754500","","8048284762"
"1871835983","Landstuhl Regional Medical Center","Unit 33100","APO","AE","091803100","US","3145905639","",""
"1659021764","2401 W Belvedere Ave","","Baltimore","MD","212155216","US","4106017639","",""
"1790435766","1032 Crosswinds Ct","","Wentzville","MO","633854836","US","8448538937","",""
"1932736113","1924 Alcoa Hwy # U-11","","Knoxville","TN","379201511","US","8653059230","","8653056958"
"1437787058","1801 Senate Blvd Ste 535","","Indianapolis","IN","462021204","US","0000000000","",""
"1437787058","13000 E 136th St","","Fishers","IN","460379478","US","3176782273","",""
"1851352173","1116 Fincastle Rd","","Lexington","KY","405021838","US","8592218217","","6103402214"
"1851352173","4 Carriage Ln Ste 108","","Charleston","SC","294076048","US","8284303511","",""
"1790051134","11 Shuttle Rd","","Farmington","CT","060321900","US","8606794426","",""
"1083292536","11375 Cortez Blvd","","Brooksville","FL","346135409","US","3525966632","",""
"1083292536","9400 Fountain Medical Ct Ste B-101","","Bonita Springs","FL","341354523","US","2392601033","","2392601491"
"1235661117","9200 W Wisconsin Ave Ste 300","","Milwaukee","WI","532263522","US","4148056000","","4148056280"
"1801699343","8111 S Emerson Ave","","Indianapolis","IN","462378601","US","3175285000","",""
"1891257069","8901 Wisconsin Ave","","Bethesda","MD","208890004","US","3013198278","",""
"1891257069","5151 Bioinformatics Bldg. CB #7040","","Chapel Hill","NC","275997040","US","9199665269","",""
"1891257069","5205 Chairmans Ct Ste 202","","Frederick","MD","217032918","US","2405759580","",""
"1891257069","8850 Columbia 100 Pkwy Ste 101","","Columbia","MD","210452375","US","4108882020","",""
"1891257069","19052 N R H Johnson Blvd Ste A","","Sun City West","AZ","853754401","US","6238888191","",""
"1891257069","10701 W Bell Rd","","Sun City","AZ","853511074","US","6238888191","",""
"1891257069","8404 E Shea Blvd Ste 105","","Scottsdale","AZ","852606658","US","4804830711","",""
"1891257069","2222 E Camelback Rd Ste 250","","Phoenix","AZ","850163427","US","6028403501","","6028403501"
"1891257069","2450 E Guadalupe Rd Ste 107","","Gilbert","AZ","852345116","US","6165886593","",""
"1891257069","500 W Savage St","","Wickenburg","AZ","853904235","US","9284152188","",""
"1609455898","1215 Lee St.","Mail Stop 801210","Charlottesville","VA","22908","US","4349245314","","4342434743"
"1265052872","4500 San Pablo Rd S","","Jacksonville","FL","322241865","US","9049532000","",""
"1861138331","5230 E Stop 11 Rd Ste 250","","Indianapolis","IN","462376399","US","3175288921","","3175286916"
"1336102425","1715 Resurgence Dr Ste 201","","Watkinsville","GA","306777321","US","7064109270","",""
"1134562879","4201 Saint Antoine St","UHC-2E","Detroit","MI","482012153","US","3137454525","",""
"1134562879","824 Main St Ste 306","","Phoenixville","PA","194604478","US","6109831941","","6109831945"
"1003293077","2925 Premiere Pkwy Ste 185","","Duluth","GA","300975258","US","8587400706","",""
"1003293077","3066 Healthy Way Ste 116","","Birmingham","AL","352432464","US","6592005480","",""
"1003293077","1100 Florida Ave Rm 5303","","New Orleans","LA","701192715","US","8587400706","",""
"1003293077","616 Gayle St Ste 100","","Gardendale","AL","350713056","US","6592006277","",""
"1639790025","900 NW 17th St","","Miami","FL","331361134","US","3053266000","",""
"1679928584","150 Bergen St","","Newark","NJ","071032496","US","9739725672","",""
"1679928584","475 Seaview Avenue","","Staten Island","NY","10305","US","7182266205","","7182268695"
"1669054649","Griffin Hospital 130 Division St","","Derby","CT","06418","US","2037327327","",""
"1023300399","2950 College Dr Ste 2G","","Vineland","NJ","083606933","US","8566911129","","8566911229"
"1992440713","527 S High St","","Columbus","OH","432155602","US","6142279444","",""
"1992441794","7 Franklin Rd","","East Greenwich","RI","028182177","US","4019030444","","4016188006"
"1649900077","5501 Old York Rd","","Philadelphia","PA","191413098","US","2154567890","",""
"1659505238","500 W Broadway St","","Missoula","MT","598024008","US","4065437271","",""
"1700178399","3020 14th St NW","","Washington","DC","200096865","US","2027454300","","2025488600"
"1700178399","1220 12th St SE","Suite 120","Washington","DC","200033722","US","2027157900","",""
"1700178399","2041 Georgia Ave NW Ste 1700","","Washington","DC","200606865","US","2028654164","","2028657407"
"1861982670","200 Industrial Blvd","","Dublin","GA","310212997","US","4782743458","3458","4782743468"
"1528681947","7 Emma Ln","","Clifton Park","NY","120653763","US","5185830001","",""
"1528681947","2125 River Rd","","Schenectady","NY","123091107","US","5183742266","",""
"1528681947","2231 Burdett Ave Ste 260","","Troy","NY","121802429","US","5182720035","",""
"1912435884","1 Robert Wood Johnson Pl","","New Brunswick","NJ","089011928","US","2016759864","",""
"1912435884","101 Nicolls Rd","","Stony Brook","NY","117940001","US","6316898333","",""
"1881031011","136 Lake St","","Ephrata","PA","175222415","US","7177339090","",""
"1881031011","30 N 4th St","","Lebanon","PA","170465606","US","7172740474","",""
"1881031011","252 S 4th St","","Lebanon","PA","170426111","US","7172738835","",""
"1881031011","845 Helen Dr","","Lebanon","PA","170427493","US","7172738835","",""
"1508425067","824 Main St Ste 306","","Phoenixville","PA","19460","US","6109831941","",""
"1083640007","621 N Main St.","","Bellevue","ID","83313","US","2087253145","","5415043907"
"1194611699","287 Vermillion Dr","","Columbia","SC","292093345","US","8033546547","",""
"1801456660","301 S 7th Ave Ste 120","","West Reading","PA","196111449","US","4846284630","",""
"1972494375","6018 Sandy Springs Cir","","Atlanta","GA","303283832","US","4042565194","",""
"1467891564","1715 Resurgence Dr Ste 201","","Watkinsville","GA","306777321","US","7064109270","",""
"1982380341","600 N Lewis St","","New Iberia","LA","705632043","US","3373640441","",""
"1982380341","2315 E Main St","","New Iberia","LA","705604031","US","3373640441","",""
"1538574934","1201 S Main St","","Crown Point","IN","463078481","US","2197382100","",""
"1538574934","440 Taylor Rd","Ste. 3380","Montgomery","AL","361173588","US","3342136255","",""
"1538574934","1501 Hartford St","","Lafayette","IN","479042134","US","7654236011","",""
"1154053619","1960 E County Line Rd","","Mineral Ridge","OH","444409451","US","3307932487","","3307435748"
"1154053619","8790 E Market St Ste 100","","Warren","OH","444842380","US","3307932487","","3307435748"
"1154053619","142 Javit Ct","","Youngstown","OH","445152409","US","3307932487","","3307435748"
"1154053619","108 W Western Reserve Rd","","Youngstown","OH","445143522","US","3307932487","","3307435748"
"1154053619","939 Wilkinson Ave","","Youngstown","OH","445092159","US","3307932487","","3307435748"
"1689120016","IM, Dwight D Eisenhower Army Medical Center","300 East Hospital Road","Fort Gordon","GA","30905","US","7067874657","",""
"1184145088","834 Walnut St Ste 600","","Philadelphia","PA","191075109","US","2159551671","",""
"1184145088","100 E Lancaster Ave","","Wynnewood","PA","190963450","US","4844762000","",""
"1124645536","2705 N Lebanon St Ste 342","","Lebanon","IN","460528621","US","7654858740","","7654858749"
"1407747884","2211 S Park Ave Ste 45&7","","Alexandria","IN","460018084","US","7657054138","",""
"1407747884","3084 Broadway St","","Anderson","IN","460121258","US","7654004021","",""
"1407747884","3310 Main St","","Anderson","IN","460134264","US","7654004258","",""
"1407747884","3011 S 14th St","","New Castle","IN","473621845","US","7654654290","",""
"1598656985","2211 S Park Ave Ste 45&7","","Alexandria","IN","460018084","US","7657054138","",""
"1598656985","3300 Main St","","Anderson","IN","460134233","US","7654004571","",""
"1598656985","3084 Broadway St","","Anderson","IN","460121258","US","7654004021","",""
"1598656985","3310 Main St","","Anderson","IN","460134264","US","7654004258","",""
"1639060023","1101 Brookdale St","","Martinsville","VA","241124500","US","2766223636","","2766270060"
"1184515579","2211 S Park Ave Ste 45&7","","Alexandria","IN","460018084","US","7657054138","",""
"1184515579","3310 Main St","","Anderson","IN","460134264","US","7654004258","",""
"1184515579","3084 Broadway St","","Anderson","IN","460121258","US","7654004021","",""
"1184515579","3011 S 14th St","","New Castle","IN","473621845","US","7654654290","",""
"1801787296","1754 N D St","","Fremont","NE","680253406","US","4027205215","",""
"1326939711","116 Concord Rd Ste 600","","Knoxville","TN","379342943","US","8652824972","","8652218112"
"1699666099","16898 Huntington Path","","Lakeville","MN","550444660","US","9524518309","",""
"1952292369","1088 WASSERMAN WAY","","BATAVIA","OH","45103","US","5137358100","",""
"1316555865","2147A Hoffmeyer Rd","","Florence","SC","295014015","US","8433174073","",""
"1497482020","10880 GENERAL PULLER HWY ST 10","","HARTFIELD","VA","23071","US","7575272180","","7572579316"
"1386656668","3815 Stange Rd","","Ames","IA","500103914","US","5159564044","",""
"1699386060","2150 Noll Dr Ste 200","","Lancaster","PA","176037605","US","7178744297","","7178744298"
"1699386060","4310 Londonderry Rd Ste 106","","Harrisburg","PA","171095333","US","7172303026","","7172215611"
"1699386060","2025 Technology Pkwy Ste 109","","Mechanicsburg","PA","170509401","US","7172303026","","7172215611"
"1699386060","301 S 7th Ave Ste 245","","West Reading","PA","19611","US","4846287900","","6106855264"
"1770063687","4605 Kirkwood Hwy Ste A","","Wilmington","DE","198085005","US","3029997171","","3029937863"
"1851548341","1500 S Main St","","Fort Worth","TX","761044917","US","8179213431","1173",""
"1851548341","2600 Ferry St","","Lafayette","IN","479043055","US","7654488000","",""
"1851548341","340 W 10th St Ste 6200","","Indianapolis","IN","462023082","US","3172748157","",""
"1851548341","1701 S Creasy Ln","","Lafayette","IN","479054972","US","7655024949","","7655024187"
"1811500127","1545 Atlantic Ave","","Brooklyn","NY","112131122","US","9013158093","",""
"1811500127","420 S 5th Ave","","West Reading","PA","196112143","US","4846285455","",""
"1629225099","112 N 7th St","","Chambersburg","PA","172011720","US","7172174300","","7172174399"
"1629225099","501 E Main St","","Waynesboro","PA","172682353","US","7172624521","",""
"1629225099","1818 N Meade St","","Appleton","WI","549113454","US","9206365437","","9207357618"
"1528469467","1 Atwell Rd","","Cooperstown","NY","13326","US","6075473456","",""
"1225122716","1715 Resurgence Dr Ste 201","","Watkinsville","GA","306777321","US","7064109270","",""
"1154805489","925 NE 30th Ter Ste 202","","Homestead","FL","330337614","US","3052461030","",""
"1154805489","975 Baptist Way","","Homestead","FL","330337600","US","7862438000","",""
"1760023865","8101 Hinson Farm Rd Ste 315","","Alexandria","VA","223063408","US","7035740708","","7035740709"
"1760023865","3541 W Braddock Rd Ste 150","","Alexandria","VA","223021923","US","7035740708","","7035740709"
"1487434718","1134 N Main St","","Bellefontaine","OH","433112379","US","9376516820","","9376516822"
"1144827650","308 W Market St","","Crawfordsville","IN","479331632","US","7653626374","",""
"1326598897","701 Superior Ave Ste 2500","","Munster","IN","463214037","US","2199224081","","2199225880"
"1114478062","8300 Esters Blvd Ste 900","","Irving","TX","750632233","US","4154244266","",""
"1306563994","550 University Blvd","","Indianapolis","IN","462025149","US","3179448321","",""
"1659037067","Advocate Aurora St. Luke's Medical Center","2801 W Kinnickinnic River Parkway, Suite 480","Milwaukee","WI","53215","US","4143852317","",""
"1851056121","2042 Wooddale Dr Ste 125","","Woodbury","MN","551254394","US","6516893007","",""
"1063583169","1400 Computer Dr Ste 301","","Westborough","MA","015811790","US","6174205316","",""
"1063583169","123 Summer St","","Worcester","MA","016081216","US","5083635000","",""
"1063583169","10 Dorrance St Ste 700","","Providence","RI","029032014","US","8332290957","",""
"1538983671","131 W Innes St","","Salisbury","NC","281444338","US","9803058780","","9808920404"
"1346719184","13420 N Meridian St Ste 240","","Carmel","IN","460321581","US","3175828600","",""
"1346719184","5430 E Washington St","","Indianapolis","IN","462196446","US","3179697935","","8775502158"
"1710456561","4605 MacCorkle Ave SW","","South Charleston","WV","253091311","US","3047664575","",""
"1073118436","4653 E Main St","","Whitehall","OH","432133298","US","6148752371","",""
"1497152524","185 S Orange Ave","Department of Pediatrics Room F-540","Newark","NJ","071032757","US","9739721032","","9739720178"
"1497152524","99 Highway 37 W","","Toms River","NJ","087556423","US","7325578054","",""
"1497152524","420 S 5th Ave","","West Reading","PA","19611","US","4846288843","",""
"1629846613","116 Concord Rd Ste 600","","Knoxville","TN","379342943","US","8652824972","",""
"1699584797","9301 Park West Blvd Ste B5","","Knoxville","TN","379234300","US","8652434185","","8775400353"
"1437571791","1072 Market St","","Sunbury","PA","178012458","US","5702868521","","5702866197"
"1861106817","3625 Browns Bridge Rd Ste 101","","Cumming","GA","300284198","US","4706950527","",""
"1750361481","3417 Ensign Rd NE","","Olympia","WA","985065075","US","3604934600","","3604934603"
"1790107548","700 S Enota Dr NE","","Gainesville","GA","305012403","US","7705313711","",""
"1629490222","2595 Interstate Dr Ste 103","","Harrisburg","PA","171109378","US","8003703651","",""
"1629490222","100 Horizon Center Blvd","","Hamilton","NJ","086911910","US","2157713834","",""
"1881666170","4005 24th St","","Lubbock","TX","794101815","US","8067922767","","8888618858"
"1386976207","Integra Imaging PS","1200 Westwood Drive","Hamilton","MT","598400000","US","6154529470","",""
"1467106971","363 Southcrest Cir Ste 202","","Southaven","MS","386714737","US","9012260456","","9012260458"
"1841945482","401 Southcrest Cir Ste 201","","Southaven","MS","386716721","US","9012260456","","9012260458"
"1750654448","3415 SE Powell Blvd","","Portland","OR","972023371","US","5032349591","",""
"1255086641","2017 W Morse Ave Unit E2","","Chicago","IL","606454954","US","7734153229","",""
"1255086641","2409 N Clybourn Ave","","Chicago","IL","606146185","US","7732701652","",""
"1578696985","PO Box 154","","LaGrange","GA","302410003","US","7062986381","","7062986431"
"1952370801","980 Johnson Ferry Rd Ste 220","","Atlanta","GA","303421623","US","4042555956","",""
"1265068498","4930 Enterprise Dr NW","","Warren","OH","444818706","US","2348305275","",""
"1184165474","391 S Chipeta Way Ste C","","Salt Lake City","UT","841081294","US","8015814800","",""
"1184165474","3237 Voyager Dr","","Green Bay","WI","543118349","US","9204688288","",""
"1144806613","Medical Center Blvd","","Winston-Salem","NC","271571087","US","3367164551","","3367169642"
"1093342644","701 W 5th St Ste 1229","","Odessa","TX","797634206","US","4326201048","",""
"1598415440","1924 Alcoa Hwy # U-67","","Knoxville","TN","379201511","US","8653059350","","8653058942"
"1982721643","100 W 162nd St","","South Holland","IL","604732003","US","7087302200","","7082100698"
"1982721643","15901 Halsted St","","Harvey","IL","604265222","US","7082719782","",""
"1174765853","980 Johnson Ferry Rd Ste 220","","Atlanta","GA","303421623","US","4042555956","",""
"1083970909","2300 Opitz Blvd Ste A","","Woodbridge","VA","221913311","US","7035230611","","7036702089"
"1235889486","6655 S Cimarron Rd Ste 100","","Las Vegas","NV","891132181","US","7028533561","",""
"1811429939","655 W 8th St","","Jacksonville","FL","322096511","US","9045701498","",""
"1811429939","506 6th St","","Brooklyn","NY","112153609","US","9045701498","",""
"1740786508","4502 Medical Dr","","San Antonio","TX","782294492","US","2103584000","",""
"1740786508","1 Childrens Plz","","Dayton","OH","454041873","US","6147226200","",""
"1740786508","7853 Pacer Dr","","Delaware","OH","430157571","US","6147226200","",""
"1740786508","5665 Venture Dr","","Dublin","OH","430172159","US","6147226200","",""
"1740786508","1818 Chapel Dr","","Findlay","OH","458401335","US","6147226200","",""
"1740786508","830 W High St","","Lima","OH","458013971","US","6147226200","",""
"1740786508","536 S Trimble Rd","","Mansfield","OH","449063418","US","6147226200","",""
"1740786508","1069 Delaware Ave","","Marion","OH","433021400","US","6147226200","",""
"1740786508","11 John Lloyd Evans Memorial Dr","","Nelsonville","OH","457642523","US","6147226200","",""
"1740786508","1711 27th St","","Portsmouth","OH","456622654","US","6147226200","",""
"1740786508","7901 Diley Rd","","Canal Winchester","OH","431109612","US","6147226200","",""
"1740786508","4439 State Route 159 Ste G10","","Chillicothe","OH","456017708","US","6147226200","",""
"1114612983","1000 E Main St","","Danville","IN","461221948","US","3177454451","",""
"1396164265","13001 E. 17th Place","","Aurora","CO","800452581","US","3037242685","",""
"1790538155","501 W 14th St","","Wilmington","DE","198011013","US","3027331000","",""
"1437788627","625 19th St S","","Birmingham","AL","352331900","US","2059346525","",""
"1699238329","177 Fort Washington Ave","","New York","NY","100323733","US","2123053038","",""
"1508619230","8785 SW 165th Ave # 103-104","","Miami","FL","331935826","US","7866559306","",""
"1508619230","13195 SW 134th St Ste 201","","Miami","FL","331864585","US","7862066500","",""
"1508619230","850 NW Federal Hwy Ste 173","","Stuart","FL","349941019","US","7866559306","",""
"1699417568","4201 Saint Antoine St # 9C","","Detroit","MI","482012153","US","3146052658","",""
"1699417568","4201 Saint Antoine St Ste 6A","","Detroit","MI","482012153","US","3137454627","",""
"1316680721","537 Blythe Ave","","Gallatin","TN","370662223","US","6155273060","","6152068004"
"1306690672","1951 Oak St","","Forest Grove","OR","971162000","US","9713064789","",""
"1295398329","543 Taylor Ave Fl 1","","Columbus","OH","432031278","US","6142932663","","6142932053"
"1215424221","9500 Euclid Ave","","Cleveland","OH","441950001","US","2164442200","",""
"1215424221","500 S Preston St Rm 305","","Louisville","KY","402021702","US","5028528696","",""
"1215424221","95 Jonathan Lucas St # 912","","Charleston","SC","294250001","US","8438700059","",""
"1952964454","9200 Calumet Ave Ste 300","","Munster","IN","463212885","US","8776326637","","7084095179"
"1952964454","1611 W Harrison St Ste 400","","Chicago","IL","606124861","US","8776326637","","7084095179"
"1013337419","108 Fordham Rd","","Clifton","NJ","070131431","US","9175698261","",""
"1538694526","4201 Varsity Dr","Suite C","Ann Arbor","MI","481085005","US","7349260740","",""
"1316264328","3600 Minnesota Dr Ste 800","","Minneapolis","MN","554357915","US","9525951100","","6122944903"
"1588956809","3400 Civic Center Boulevard","","Philadelphia","PA","191044204","US","2156155858","","2153498144"
"1548616212","410 W Linfield Trappe Rd","Suite 240","Limerick","PA","194684295","US","6104956500","","6104956556"
"1326426818","234 Wentworth Ave E","","Saint Paul","MN","551183525","US","6125136694","",""
"1326426818","1050 Larpenteur Ave W","","Saint Paul","MN","551136556","US","6128190597","",""
"1326426818","1716 Briarcrest Dr Fl 3","","Bryan","TX","778022763","US","5128661812","",""
"1760421382","2600 W Division St","","Chicago","IL","606222850","US","7734861900","","7734867181"
"1366281610","1428 E Main St Ste B","","Lincolnton","NC","280923902","US","7047480516","","9803890044"
"1790725810","1455 Saint Francis Ave","","Shakopee","MN","553793374","US","6124033000","",""
"1093163453","1210 W Fairview St","","Colfax","WA","99111","US","5093974717","","5093973501"
"1417305434","1701 N Senate Blvd","","Indianapolis","IN","462021239","US","3179628776","",""
"1417305434","615 S New Ballas Rd","","Saint Louis","MO","631418221","US","3142516339","",""
"1053353052","1816 Eagle Dr Ste 200-B","","Woodstock","GA","301898274","US","4042555456","",""
"1760176085","1000 E Main St","","Danville","IN","461221948","US","3177453450","",""
"1205240850","2019 Crawford St","","Houston","TX","770029002","US","7136593237","",""
"1205240850","6200 Hospitality Dr Fl 1","","Franklin","TN","37067","US","8333518255","",""
"1205240850","1 W Winter St Ste 200","","Delaware","OH","43015","US","8333518255","",""
"1205240850","109 W 27th St Rm 5S","","New York","NY","10001","US","8333518255","",""
"1205240850","400 Union Ave SE Ste 200","","Olympia","WA","985012060","US","8333518255","",""
"1205240850","550 Congressional Blvd Ste 115","","Carmel","IN","460325644","US","8333518255","",""
"1205240850","4200 Fashion Square Blvd Ste 201","","Saginaw","MI","486031375","US","8333518255","",""
"1518582899","5323 Harry Hines Blvd","MC 9159","Dallas","TX","75390","US","2146488760","",""
"1134567134","4400 W 95th St Ste 308","","Oak Lawn","IL","604532660","US","7083464040","","7083463287"
"1790353290","8200 Dodge St","","Omaha","NE","681144113","US","4025527736","",""
"1013691815","5674 Memorial Dr","","Stone Mountain","GA","300833254","US","7703226161","","7703226191"
"1013691815","915 S Jackson St","Health Center","Montgomery","AL","361045732","US","3342294436","",""
"1518697416","1101 Office Woods Dr","","Pensacola","FL","325045937","US","8508052000","","8504749060"
"1750542395","34730 Bob Wilson Dr","Suite 100","San Diego","CA","921343100","US","6194536560","",""
"1750542395","114 Gateway Corporate Blvd Ste 120","","Columbia","SC","292039785","US","8037537524","",""
"1750542395","836 Prudential Dr Ste 1202","","Jacksonville","FL","322078339","US","9044935323","","9043465410"
"1609187889","3551 Roger Brooke Dr","","Fort Sam Houston","TX","782344504","US","2109162412","",""
"1609187889","900 Gordon Ave","","Thomasville","GA","317926613","US","2292260125","","2292260195"
"1609187889","1003 Chafee Ave","","Augusta","GA","309045867","US","7067218937","","7067217508"
"1922329325","4600 W Schroeder Dr","","Brown Deer","WI","532231469","US","4143559000","",""
"1861061244","15531 E 127th St","","Lemont","IL","604398555","US","8472509096","","2242209743"
"1902326895","7501 Quaker Ave Fl 1","","Lubbock","TX","794243367","US","8067883306","","8067223861"
