            table_name             |            column_name            |          data_type          | is_nullable 
 attachments                       | deleted_by                        | integer                     | YES
 attachments                       | retention_date                    | date                        | YES
 attachments                       | access_count                      | integer                     | YES
 attachments                       | last_accessed_at                  | timestamp without time zone | YES
 attachments                       | tags                              | ARRAY                       | YES
 attachments                       | source_system                     | text                        | YES
 attachments                       | external_id                       | text                        | YES
 attachments                       | created_at                        | timestamp without time zone | YES
 attachments                       | updated_at                        | timestamp without time zone | YES
 authentication_logs               | id                                | integer                     | NO
 authentication_logs               | user_id                           | integer                     | YES
 authentication_logs               | username                          | character varying           | YES
 authentication_logs               | event_type                        | character varying           | NO
 authentication_logs               | success                           | boolean                     | NO
 authentication_logs               | ip_address                        | character varying           | YES
 authentication_logs               | user_agent                        | text                        | YES
 authentication_logs               | error_message                     | text                        | YES
 authentication_logs               | created_at                        | timestamp with time zone    | YES
 authentication_logs               | email                             | text                        | YES
 authentication_logs               | health_system_id                  | integer                     | YES
 authentication_logs               | failure_reason                    | text                        | YES
 clinic_admin_verifications        | id                                | integer                     | NO
 clinic_admin_verifications        | organization_name                 | text                        | NO
 clinic_admin_verifications        | applicant_first_name              | text                        | NO
 clinic_admin_verifications        | applicant_last_name               | text                        | NO
 clinic_admin_verifications        | applicant_email                   | text                        | NO
 clinic_admin_verifications        | applicant_phone                   | text                        | NO
 clinic_admin_verifications        | address_street                    | text                        | NO
 clinic_admin_verifications        | address_city                      | text                        | NO
 clinic_admin_verifications        | address_state                     | text                        | NO
 clinic_admin_verifications        | address_zip                       | text                        | NO
 clinic_admin_verifications        | website                           | text                        | YES
 clinic_admin_verifications        | preferred_ehr_tier                | integer                     | YES
 clinic_admin_verifications        | verification_status               | text                        | YES
 clinic_admin_verifications        | verification_score                | numeric                     | YES
 clinic_admin_verifications        | verification_details              | jsonb                       | YES
 clinic_admin_verifications        | risk_assessment                   | jsonb                       | YES
 clinic_admin_verifications        | automated_decision                | text                        | YES
 clinic_admin_verifications        | automated_recommendations         | ARRAY                       | YES
 clinic_admin_verifications        | manual_review_notes               | text                        | YES
 clinic_admin_verifications        | reviewer_id                       | integer                     | YES
 clinic_admin_verifications        | reviewed_at                       | timestamp without time zone | YES
 clinic_admin_verifications        | api_verification_results          | jsonb                       | YES
 clinic_admin_verifications        | created_at                        | timestamp without time zone | YES
 clinic_admin_verifications        | updated_at                        | timestamp without time zone | YES
 dashboards                        | id                                | integer                     | NO
 dashboards                        | name                              | text                        | NO
 dashboards                        | config                            | jsonb                       | YES
 dashboards                        | created_at                        | timestamp without time zone | YES
 diagnoses                         | id                                | integer                     | NO
 diagnoses                         | patient_id                        | integer                     | NO
 diagnoses                         | encounter_id                      | integer                     | NO
 diagnoses                         | diagnosis_code                    | text                        | YES
 diagnoses                         | diagnosis_description             | text                        | YES
 diagnoses                         | diagnosis_type                    | text                        | YES
 diagnoses                         | status                            | text                        | NO
 diagnoses                         | onset_date                        | date                        | YES
 diagnoses                         | resolution_date                   | date                        | YES
 diagnoses                         | notes                             | text                        | YES
 diagnoses                         | severity                          | text                        | YES
 diagnoses                         | clinician_id                      | integer                     | YES
 diagnoses                         | created_at                        | timestamp without time zone | YES
 diagnoses                         | updated_at                        | timestamp without time zone | YES
 diagnoses                         | claim_submission_status           | text                        | YES
 diagnoses                         | claim_id                          | text                        | YES
 diagnoses                         | clearinghouse_id                  | text                        | YES
 diagnoses                         | payer_id                          | text                        | YES
 diagnoses                         | allowed_amount                    | numeric                     | YES
 diagnoses                         | paid_amount                       | numeric                     | YES
 diagnoses                         | patient_responsibility            | numeric                     | YES
 diagnoses                         | adjustment_amount                 | numeric                     | YES
 diagnoses                         | denial_reason                     | text                        | YES
 diagnoses                         | denial_code                       | text                        | YES
 diagnoses                         | appeal_status                     | text                        | YES
 diagnoses                         | appeal_deadline                   | text                        | YES
 diagnoses                         | billing_notes                     | text                        | YES
 diagnoses                         | last_billing_action               | text                        | YES
 diagnoses                         | assigned_biller                   | integer                     | YES
 diagnoses                         | modifier_applied                  | text                        | YES
 diagnoses                         | billing_action_date               | timestamp without time zone | YES
 encounters                        | id                                | integer                     | NO
 encounters                        | patient_id                        | integer                     | NO
 encounters                        | provider_id                       | integer                     | NO
 encounters                        | encounter_date                    | timestamp without time zone | YES
 encounters                        | encounter_type                    | character varying           | YES
 encounters                        | visit_reason                      | text                        | YES
 encounters                        | status                            | character varying           | YES
 encounters                        | location                          | character varying           | YES
 encounters                        | insurance_verified                | boolean                     | YES
 encounters                        | copay_collected                   | numeric                     | YES
 encounters                        | notes                             | text                        | YES
 encounters                        | created_at                        | timestamp without time zone | YES
 encounters                        | updated_at                        | timestamp without time zone | YES
 encounters                        | encounter_subtype                 | text                        | YES
 encounters                        | encounter_status                  | text                        | YES
 encounters                        | end_time                          | timestamp without time zone | YES
 encounters                        | location_id                       | integer                     | YES
 encounters                        | chief_complaint                   | text                        | YES
 encounters                        | ai_scribe_mode                    | text                        | YES
 encounters                        | ai_suggestions                    | jsonb                       | YES
 encounters                        | signed_by                         | integer                     | YES
 encounters                        | signed_at                         | timestamp without time zone | YES
 encounters                        | is_signed                         | boolean                     | YES
 encounters                        | appointment_id                    | integer                     | YES
 encounters                        | start_time                        | timestamp without time zone | YES
 encounters                        | note                              | text                        | YES
 encounters                        | nurse_assessment                  | text                        | YES
 encounters                        | nurse_interventions               | text                        | YES
 encounters                        | nurse_notes                       | text                        | YES
 encounters                        | transcription_id                  | text                        | YES
 encounters                        | assistant_thread_id               | text                        | YES
 encounters                        | voice_recording_url               | text                        | YES
 family_history                    | id                                | integer                     | NO
 family_history                    | patient_id                        | integer                     | NO
 family_history                    | relationship                      | text                        | NO
 family_history                    | condition                         | text                        | NO
 family_history                    | age_at_onset                      | integer                     | YES
 family_history                    | age_at_death                      | integer                     | YES
 family_history                    | cause_of_death                    | text                        | YES
 family_history                    | notes                             | text                        | YES
 family_history                    | source_type                       | text                        | YES
 family_history                    | source_confidence                 | numeric                     | YES
 family_history                    | extracted_from_attachment_id      | integer                     | YES
 family_history                    | extraction_notes                  | text                        | YES
 family_history                    | maternal_side                     | boolean                     | YES
 family_history                    | living_status                     | text                        | YES
 family_history                    | genetic_marker                    | text                        | YES
 family_history                    | consolidation_reasoning           | text                        | YES
 family_history                    | merged_ids                        | ARRAY                       | YES
 family_history                    | visit_history                     | jsonb                       | YES
 family_history                    | created_at                        | timestamp without time zone | YES
 family_history                    | updated_at                        | timestamp without time zone | YES
 health_systems                    | id                                | integer                     | NO
 health_systems                    | name                              | character varying           | NO
 health_systems                    | type                              | character varying           | YES
 health_systems                    | subscription_tier                 | integer                     | YES
 health_systems                    | subscription_status               | character varying           | YES
 health_systems                    | subscription_key                  | character varying           | YES
 health_systems                    | is_migration                      | boolean                     | YES
 health_systems                    | stripe_customer_id                | character varying           | YES
 health_systems                    | metadata                          | jsonb                       | YES
 health_systems                    | created_at                        | timestamp with time zone    | YES
 health_systems                    | updated_at                        | timestamp with time zone    | YES
 health_systems                    | short_name                        | text                        | YES
 health_systems                    | system_type                       | text                        | YES
 health_systems                    | subscription_start_date           | timestamp without time zone | YES
 health_systems                    | subscription_end_date             | timestamp without time zone | YES
 health_systems                    | merged_into_health_system_id      | integer                     | YES
 health_systems                    | merged_date                       | timestamp without time zone | YES
 health_systems                    | original_provider_id              | integer                     | YES
 health_systems                    | primary_contact                   | text                        | YES
 health_systems                    | phone                             | text                        | YES
 health_systems                    | email                             | text                        | YES
 health_systems                    | website                           | text                        | YES
 health_systems                    | npi                               | text                        | YES
 health_systems                    | tax_id                            | text                        | YES
 health_systems                    | logo_url                          | text                        | YES
 health_systems                    | brand_colors                      | jsonb                       | YES
 health_systems                    | subscription_limits               | jsonb                       | YES
 health_systems                    | active_user_count                 | jsonb                       | YES
 health_systems                    | billing_details                   | jsonb                       | YES
 health_systems                    | active                            | boolean                     | YES
 health_systems                    | status                            | text                        | YES
 imaging_results                   | id                                | integer                     | NO
 imaging_results                   | patient_id                        | integer                     | NO
 imaging_results                   | encounter_id                      | integer                     | YES
 imaging_results                   | imaging_order_id                  | integer                     | YES
 imaging_results                   | study_type                        | text                        | NO
 imaging_results                   | body_part                         | text                        | NO
 imaging_results                   | modality                          | text                        | YES
 imaging_results                   | study_date                        | timestamp without time zone | YES
 imaging_results                   | accession_number                  | text                        | YES
 imaging_results                   | performing_facility               | text                        | YES
 imaging_results                   | ordering_provider_id              | integer                     | YES
 imaging_results                   | reading_radiologist               | text                        | YES
 imaging_results                   | findings                          | text                        | YES
 imaging_results                   | impression                        | text                        | YES
 imaging_results                   | recommendations                   | text                        | YES
 imaging_results                   | comparison_studies                | text                        | YES
 imaging_results                   | technique                         | text                        | YES
 imaging_results                   | contrast_used                     | boolean                     | YES
 imaging_results                   | contrast_type                     | text                        | YES
 imaging_results                   | radiation_dose                    | text                        | YES
 imaging_results                   | number_of_images                  | integer                     | YES
 imaging_results                   | critical_findings                 | boolean                     | YES
 imaging_results                   | critical_findings_communicated_at | timestamp without time zone | YES
 imaging_results                   | report_status                     | text                        | YES
 imaging_results                   | report_finalized_at               | timestamp without time zone | YES
 imaging_results                   | addendum                          | text                        | YES
 imaging_results                   | addendum_date                     | timestamp without time zone | YES
 imaging_results                   | procedure_code                    | text                        | YES
 imaging_results                   | diagnostic_quality                | text                        | YES
 imaging_results                   | limitations                       | text                        | YES
 imaging_results                   | follow_up_needed                  | boolean                     | YES
 imaging_results                   | follow_up_timeframe               | text                        | YES
 imaging_results                   | bi_rads_score                     | text                        | YES
 imaging_results                   | lung_rads_score                   | text                        | YES
 imaging_results                   | ti_rads_score                     | text                        | YES
 imaging_results                   | pi_rads_score                     | text                        | YES
 imaging_results                   | liver_rads_score                  | text                        | YES
 imaging_results                   | incidental_findings               | text                        | YES
 imaging_results                   | relevant_history                  | text                        | YES
 imaging_results                   | clinical_indication               | text                        | YES
 imaging_results                   | protocol_name                     | text                        | YES
 imaging_results                   | series_count                      | integer                     | YES
 imaging_results                   | image_count                       | integer                     | YES
 imaging_results                   | study_size_mb                     | numeric                     | YES
 imaging_results                   | pacs_study_uid                    | text                        | YES
 imaging_results                   | dicom_retrieval_url               | text                        | YES
 imaging_results                   | external_system_id                | text                        | YES
 imaging_results                   | source_type                       | text                        | YES
 imaging_results                   | source_confidence                 | numeric                     | YES
 imaging_results                   | extracted_from_attachment_id      | integer                     | YES
 imaging_results                   | extraction_notes                  | text                        | YES
 imaging_results                   | consolidation_reasoning           | text                        | YES
 imaging_results                   | merged_ids                        | ARRAY                       | YES
 imaging_results                   | visit_history                     | jsonb                       | YES
 imaging_results                   | created_at                        | timestamp without time zone | YES
 imaging_results                   | updated_at                        | timestamp without time zone | YES
 lab_orders                        | id                                | integer                     | NO
 lab_orders                        | order_id                          | integer                     | YES
 lab_orders                        | external_order_id                 | text                        | YES
 lab_orders                        | transmitted_at                    | timestamp without time zone | YES
 lab_orders                        | acknowledged_at                   | timestamp without time zone | YES
 lab_orders                        | result_received_at                | timestamp without time zone | YES
 lab_orders                        | status                            | text                        | YES
 lab_orders                        | transmission_response             | jsonb                       | YES
 lab_orders                        | result_data                       | jsonb                       | YES
 lab_orders                        | created_at                        | timestamp without time zone | YES
 lab_orders                        | updated_at                        | timestamp without time zone | YES
 lab_orders                        | patient_id                        | integer                     | YES
 lab_orders                        | encounter_id                      | integer                     | YES
 lab_orders                        | order_set_id                      | text                        | YES
 lab_orders                        | loinc_code                        | text                        | YES
 lab_orders                        | provider_id                       | integer                     | YES
 lab_orders                        | test_name                         | text                        | YES
 lab_orders                        | cpt_code                          | text                        | YES
 lab_orders                        | test_code                         | text                        | YES
 lab_orders                        | test_category                     | text                        | YES
 lab_orders                        | priority                          | text                        | YES
 lab_orders                        | clinical_indication               | text                        | YES
 lab_orders                        | icd10_codes                       | ARRAY                       | YES
 lab_orders                        | ordered_by                        | integer                     | YES
 lab_orders                        | ordered_at                        | timestamp without time zone | YES
 lab_orders                        | target_lab_id                     | text                        | YES
 lab_orders                        | hl7_message_id                    | text                        | YES
 lab_orders                        | requisition_number                | text                        | YES
 lab_orders                        | order_status                      | text                        | YES
 lab_orders                        | collected_at                      | timestamp without time zone | YES
 lab_orders                        | specimen_type                     | text                        | YES
 lab_orders                        | specimen_volume                   | text                        | YES
 lab_orders                        | specimen_source                   | text                        | YES
 lab_orders                        | fasting_required                  | boolean                     | YES
 lab_orders                        | special_instructions              | text                        | YES
 lab_orders                        | container_type                    | text                        | YES
 lab_orders                        | collection_site                   | text                        | YES
 lab_orders                        | collected_by                      | integer                     | YES
 lab_orders                        | external_lab                      | text                        | YES
 lab_orders                        | result_status                     | text                        | YES
 lab_orders                        | collection_instructions           | text                        | YES
 lab_orders                        | reference_range                   | text                        | YES
 lab_orders                        | expected_turnaround               | text                        | YES
 lab_orders                        | external_status                   | text                        | YES
 lab_orders                        | results                           | jsonb                       | YES
 lab_orders                        | abnormal_flags                    | ARRAY                       | YES
 lab_orders                        | fasting_hours                     | integer                     | YES
 lab_orders                        | discontinued_at                   | timestamp without time zone | YES
 lab_orders                        | discontinued_by                   | integer                     | YES
 lab_orders                        | discontinued_reason               | text                        | YES
 lab_orders                        | critical_values                   | ARRAY                       | YES
 lab_orders                        | stat_order                        | boolean                     | YES
 lab_orders                        | timing_instructions               | text                        | YES
 lab_orders                        | provider_notes                    | text                        | YES
 lab_orders                        | patient_preparation               | text                        | YES
 lab_orders                        | collection_priority               | text                        | YES
 lab_orders                        | processing_notes                  | text                        | YES
 lab_orders                        | billing_code                      | text                        | YES
 lab_orders                        | insurance_preauth                 | text                        | YES
 lab_orders                        | insurance_preauth_date            | timestamp without time zone | YES
 lab_orders                        | estimated_cost                    | numeric                     | YES
 lab_orders                        | actual_cost                       | numeric                     | YES
 lab_orders                        | patient_consent                   | boolean                     | YES
 lab_orders                        | consent_date                      | timestamp without time zone | YES
 lab_orders                        | insurance_coverage                | text                        | YES
 lab_orders                        | patient_copay                     | numeric                     | YES
 lab_orders                        | billing_status                    | text                        | YES
 lab_orders                        | billing_date                      | timestamp without time zone | YES
 lab_orders                        | cancellation_reason               | text                        | YES
 lab_orders                        | result_interpretation             | text                        | YES
 lab_orders                        | ai_suggested_tests                | ARRAY                       | YES
 lab_orders                        | ai_analysis                       | text                        | YES
 lab_orders                        | result_notification_sent          | boolean                     | YES
 lab_orders                        | result_notification_date          | timestamp without time zone | YES
 lab_orders                        | performing_lab_id                 | integer                     | YES
 lab_orders                        | lab_account_number                | text                        | YES
 lab_orders                        | risk_flags                        | ARRAY                       | YES
 lab_orders                        | quality_control_status            | text                        | YES
 lab_orders                        | quality_control_notes             | text                        | YES
 lab_orders                        | repeat_test_reason                | text                        | YES
 lab_orders                        | original_order_id                 | integer                     | YES
 lab_orders                        | test_methodology                  | text                        | YES
 lab_orders                        | quality_measure                   | text                        | YES
 lab_orders                        | processing_lab_name               | text                        | YES
 lab_orders                        | processing_lab_director           | text                        | YES
 lab_orders                        | test_validation_status            | text                        | YES
 lab_orders                        | regulatory_compliance             | text                        | YES
 lab_orders                        | sample_rejection_reason           | text                        | YES
 lab_orders                        | preventive_care_flag              | boolean                     | YES
 lab_orders                        | clinical_trial_id                 | text                        | YES
 lab_orders                        | research_study_id                 | text                        | YES
 lab_orders                        | patient_location                  | text                        | YES
 lab_orders                        | ordering_facility_id              | integer                     | YES
 lab_orders                        | test_performed_at                 | text                        | YES
 lab_reference_ranges              | id                                | integer                     | NO
 lab_reference_ranges              | test_code                         | text                        | NO
 lab_reference_ranges              | test_name                         | text                        | NO
 lab_reference_ranges              | age_min                           | integer                     | YES
 lab_reference_ranges              | age_max                           | integer                     | YES
 lab_reference_ranges              | gender                            | text                        | YES
 lab_reference_ranges              | reference_low                     | numeric                     | YES
 lab_reference_ranges              | reference_high                    | numeric                     | YES
 lab_reference_ranges              | critical_low                      | numeric                     | YES
 lab_reference_ranges              | critical_high                     | numeric                     | YES
 lab_reference_ranges              | unit                              | text                        | YES
 lab_reference_ranges              | notes                             | text                        | YES
 lab_reference_ranges              | created_at                        | timestamp without time zone | YES
 lab_reference_ranges              | updated_at                        | timestamp without time zone | YES
 lab_results                       | id                                | integer                     | NO
 lab_results                       | lab_order_id                      | integer                     | YES
 lab_results                       | patient_id                        | integer                     | NO
 lab_results                       | loinc_code                        | text                        | NO
 lab_results                       | test_code                         | text                        | NO
 lab_results                       | test_name                         | text                        | NO
 lab_results                       | test_category                     | text                        | YES
 lab_results                       | result_value                      | text                        | YES
 lab_results                       | result_numeric                    | numeric                     | YES
 lab_results                       | result_units                      | text                        | YES
 lab_results                       | reference_range                   | text                        | YES
 lab_results                       | age_gender_adjusted_range         | text                        | YES
 lab_results                       | abnormal_flag                     | text                        | YES
 lab_results                       | critical_flag                     | boolean                     | YES
 lab_results                       | delta_flag                        | text                        | YES
 lab_results                       | specimen_collected_at             | timestamp without time zone | YES
 lab_results                       | specimen_received_at              | timestamp without time zone | YES
 lab_results                       | result_available_at               | timestamp without time zone | YES
 lab_results                       | result_finalized_at               | timestamp without time zone | YES
 lab_results                       | received_at                       | timestamp without time zone | YES
 lab_results                       | external_lab_id                   | integer                     | YES
 lab_results                       | external_result_id                | text                        | YES
 lab_results                       | hl7_message_id                    | text                        | YES
 lab_results                       | instrument_id                     | text                        | YES
 lab_results                       | result_status                     | text                        | YES
 lab_results                       | verification_status               | text                        | YES
 lab_results                       | result_comments                   | text                        | YES
 lab_results                       | reviewed_by                       | integer                     | YES
 lab_results                       | reviewed_at                       | timestamp without time zone | YES
 lab_results                       | provider_notes                    | text                        | YES
 lab_results                       | needs_review                      | boolean                     | YES
 lab_results                       | review_status                     | text                        | YES
 lab_results                       | review_note                       | text                        | YES
 lab_results                       | review_template                   | text                        | YES
 lab_results                       | review_history                    | jsonb                       | YES
 lab_results                       | patient_communication_sent        | boolean                     | YES
 lab_results                       | patient_communication_method      | text                        | YES
 lab_results                       | patient_communication_sent_at     | timestamp without time zone | YES
 lab_results                       | patient_notified_by               | integer                     | YES
 lab_results                       | patient_message                   | text                        | YES
 lab_results                       | patient_message_sent_at           | timestamp without time zone | YES
 lab_results                       | source_type                       | text                        | YES
 lab_results                       | source_confidence                 | text                        | YES
 lab_results                       | extracted_from_attachment_id      | integer                     | YES
 lab_results                       | extraction_notes                  | text                        | YES
 lab_results                       | consolidation_reasoning           | text                        | YES
 lab_results                       | merged_ids                        | ARRAY                       | YES
 lab_results                       | visit_history                     | jsonb                       | YES
 lab_results                       | created_at                        | timestamp without time zone | YES
 lab_results                       | updated_at                        | timestamp without time zone | YES
 locations                         | id                                | integer                     | NO
 locations                         | name                              | character varying           | NO
 locations                         | address                           | character varying           | YES
 locations                         | city                              | character varying           | YES
 locations                         | state                             | character varying           | YES
 locations                         | zip                               | character varying           | YES
 locations                         | phone                             | character varying           | YES
 locations                         | health_system_id                  | integer                     | YES
 locations                         | created_at                        | timestamp with time zone    | YES
 locations                         | updated_at                        | timestamp with time zone    | YES
 locations                         | zip_code                          | text                        | YES
 locations                         | npi                               | text                        | YES
 locations                         | location_type                     | text                        | YES
 locations                         | organization_id                   | integer                     | YES
 locations                         | short_name                        | text                        | YES
 medical_problems                  | id                                | integer                     | NO
 medical_problems                  | patient_id                        | integer                     | NO
 medical_problems                  | encounter_id                      | integer                     | YES
 medical_problems                  | problem_title                     | text                        | NO
 medical_problems                  | icd10_code                        | text                        | YES
 medical_problems                  | snomed_code                       | text                        | YES
 medical_problems                  | problem_status                    | text                        | YES
 medical_problems                  | onset_date                        | date                        | YES
 medical_problems                  | resolution_date                   | date                        | YES
 medical_problems                  | notes                             | text                        | YES
 medical_problems                  | severity                          | text                        | YES
 medical_problems                  | source_type                       | text                        | YES
 medical_problems                  | source_confidence                 | numeric                     | YES
 medical_problems                  | extracted_from_attachment_id      | integer                     | YES
 medical_problems                  | extraction_notes                  | text                        | YES
 medical_problems                  | provider_id                       | integer                     | YES
 medical_problems                  | date_diagnosed                    | date                        | YES
 medical_problems                  | last_updated                      | timestamp without time zone | YES
 medical_problems                  | verification_status               | text                        | YES
 medical_problems                  | verification_date                 | timestamp without time zone | YES
 medical_problems                  | verified_by                       | integer                     | YES
 medical_problems                  | clinical_status                   | text                        | YES
 medical_problems                  | body_site                         | text                        | YES
 medical_problems                  | body_site_laterality              | text                        | YES
 medical_problems                  | category                          | text                        | YES
 medical_problems                  | current_icd10_code                | text                        | YES
 medical_problems                  | last_reviewed_date                | timestamp without time zone | YES
 medical_problems                  | reviewed_by                       | integer                     | YES
 medical_problems                  | patient_education_provided        | boolean                     | YES
